Nuclide	OOS Level
H3	100
Be7	10
C14	10
F18	1
Na22	0.1
Na24	0.1
Si31	100
P32	100
P33	100
S35	100
Cl36	1
Cl38	1
K42	10
K43	1
Ca45	100
Ca47	1
Sc46	0.1
Sc47	10
Sc48	0.1
V48	0.1
Cr51	10
Mn51	1
Mn52	0.1
Mn52m	1
Mn53	1000
Mn54	0.1
Mn56	1
Fe52	1
Fe55	1000
Fe59	0.1
Co55	1
Co56	0.1
Co57	1
Co58	0.1
Co58m	100
Co60	0.1
Co60m	1000
Co61	100
Co62m	1
Ni59	100
Ni63	100
Ni65	1
Cu64	10
Zn65	1
Zn69	100
Zn69m	1
Ga72	1
Ge71	10000
As73	100
As74	1
As76	1
As77	100
Se75	1
Br82	0.1
Rb86	10
Sr85	1
Sr85m	10
Sr87m	10
Sr89	10
Sr90	1
Sr91	1
Sr92	1
Y90	100
Y91	10
Y91m	1
Y92	10
Y93	10
Zr93	10
Zr95	0.1
Zr97	1
Nb93m	100
Nb94	0.1
Nb95	1
Nb97	1
Nb98	1
Mo90	1
Mo93	10
Mo99	1
Mo101	1
Tc96	0.1
Tc96m	10
Tc97	10
Tc97m	10
Tc99	1
Tc99m	100
Ru97	1
Ru103	1
Ru105	1
Ru106	1
Rh103m	10000
Rh105	10
Pd103	1000
Pd109	100
Ag105	1
Ag108m	0.1
Ag110m	0.1
Ag111	10
Cd109	10
Cd115	1
Cd115m	10
In111	1
In113m	10
In114m	1
In115m	10
Sn113	1
Sn125	1
Sb122	1
Sb124	0.1
Sb125	1
Te123m	1
Te125m	100
Te127	100
Te127m	10
Te129	10
Te129m	10
Te131	10
Te131m	1
Te132	0.1
Te133	1
Te133m	1
Te134	1
I123	10
I125	1
I126	1
I129	0.1
I130	1
I131	1
I132	1
I133	1
I134	1
I135	1
Cs129	1
Cs131	1000
Cs132	1
Cs134	0.1
Cs134m	1000
Cs135	10
Cs136	0.1
Cs137	1
Cs138	1
Ba131	1
Ba140	0.1
La140	0.1
Ce139	1
Ce141	10
Ce143	1
Ce144	10
Pr142	10
Pr143	100
Nd147	10
Nd149	10
Pm147	100
Pm149	100
Sm151	100
Sm153	10
Eu152	0.1
Eu152m	10
Eu154	0.1
Eu155	10
Gd153	10
Gd159	10
Tb160	0.1
Dy165	100
Dy166	10
Ho166	10
Er169	100
Er171	10
Tm170	10
Tm171	100
Yb175	10
Lu177	10
Hf181	1
Ta182	0.1
W181	10
W185	100
W187	1
Re186	100
Re188	10
Os185	1
Os191	10
Os191m	1000
Os193	10
Ir190	0.1
Ir192	0.1
Ir194	10
Pt191	1
Pt193m	100
Pt197	100
Pt197m	100
Au198	1
Au199	10
Hg197	10
Hg197m	10
Hg203	1
Tl200	1
Tl201	10
Tl202	1
Tl204	10
Pb203	1
Pb210	0.01
Pb212	1
Bi206	0.1
Bi207	0.1
Bi210	10
Bi212	1
Po203	1
Po205	1
Po207	1
Po210	0.01
At211	100
Ra223	1
Ra224	1
Ra225	1
Ra226	0.01
Ra227	10
Ra228	0.01
Ac227	0.01
Ac228	1
Th226	100
Th227	1
Th228	0.1
Th229	0.1
Th230	0.1
Th231	100
Th232	0.01
Th232	0.01
Th232sec	0.01
Th234	10
Pa230	1
Pa231	0.01
Pa233	1
U230+	1
U231	10
U232	0.1
U233	1
U234	1
U235	1
U235sec	0.01
U236	1
U237	10
U238	1
U238sec	0.01
U239	100
U240	10
Np237	0.1
Np239	10
Np240	1
Pu234	100
Pu235	100
Pu236	0.1
Pu237	10
Pu238	0.1
Pu239	0.1
Pu240	0.1
Pu241	1
Pu242	0.1
Pu243	100
Pu244	0.1
Am241	0.1
Am242	100
Am242m	0.1
Am243	0.1
Cm242	1
Cm243	0.1
Cm244	0.1
Cm245	0.1
Cm246	0.1
Cm247	0.1
Cm248	0.1
Bk249	10
Cf246	10
Cf248	1
Cf249	0.1
Cf250	0.1
Cf251	0.1
Cf252	0.1
Cf253	1
Cf253	1
Cf254	0.1
Es253	1
Es254	0.1
Es254m	1
Fm254	100
Fm255	10
Other	0.01
